id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,Select the type of school you visited,Select the type of school you visited,School Type,"{LPS,HPS}",True,1,AC,,,તમે કેવા પ્રકારની શાળાની મુલાકાત લીધી હતી,"{પ્રાથમિક શાળા, માધ્યમિકશાળા}"
,School has a NCERT math kit ?,Does the school have a NCERT math kit ?,GKA Math Kit,"{Yes,No}",True,1,AC,,,શાળામાં ગણિત માટે NCERTકીટ છે,"{હા,ના}"
,Does the school need additional NCERT math kit?,Does the school need additional NCERT math kit?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,શાળાને  ગણિત  માટે વધારાની  NCERT કીટની જરૂર છે,"{હા,ના}"
,Was the kit opened in this school ?,Was the kit opened in this school ?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,શું આ શાળામાં કીટ ખોલવામાં આવી હતી?,"{હા,ના}"
,Is the SDMC functional for this school ?,Is the SDMC functional for this school ?,SDMC Meet,"{Yes,No}",True,1,AC,,,શું SDMC આ શાળા માટે કાર્યરત છે?,"{હા,ના}"
,Did this school participate in the GP contest ?,Did this school participate in the GP contest ?,Gp Contest,"{Yes,No}",True,1,AC,,,શું આ શાળાએ GP contest માં ભાગ લીધો હતો?,"{હા,ના}"
,Was the GP contest held in this school ?,Was the GP contest held in this school ?,GP Contest,"{Yes,No}",True,1,AC,,,શું આ શાળામાં GP contest યોજાઇ હતી?,"{હા,ના}"
,Does this school have a 1-3-6-9 wall writing ?,Does this school have a 1-3-6-9 wall writing ?,GKA,"{Yes,No}",True,1,AC,,,"શું આ શાળામાં ""1369 "" ના ખ્યાલનુ દિવાલ પર લેખન છે?","{હા,ના}"
,Is the 4th and 5th grade taught in two different classrooms ?,Is the 4th and 5th grade taught in two different classrooms ?,Academic,"{Yes,No}",True,1,AC,,,શું ધોરણ-૧ અને  ધોરણ- ૨ બંને જુદા જુદા વર્ગખંડમાં ભણાવવામાં આવે છે?,"{હા,ના}"
,"Are any other NGOs working in this school ? If yes, write it in the comment section","Are any other NGOs working in this school ? If yes, write it in the comment section",GKA,"{Yes,No}",True,1,AC,,,"આ શાળામાં કોઈ અન્ય  NGOs કાર્યરત છે? જો હા, તો તે ટિપ્પણીમાં લખો","{હા,ના}"
,Is there an Education Volunteer identified for this school or Village ?,Is there an Education Volunteer identified for this school or Village ?,GKA,"{Yes,No}",True,1,AC,,,શું કોઈ શૈક્ષણિક સ્વયંસેવક આ શાળા અથવા ગામ સાથે સંકળાયેલ છે?,"{હા,ના}"
,What is the Teacher's teaching experience ?,What is the Teacher's teaching experience ?,Teaching,"{Less than 3 years,Between 3 to 10 years,More than 10 years}",True,2,AC,,,શિક્ષકનો ભણાવવાનો અનુભવ,"{3 વર્ષથી ઓછો,3 થી ૧0 વર્ષ વચ્ચે,૧0 વર્ષથી વધુ}"
,What is education qualification of the teacher ?,What is education qualification of the teacher ?,Teaching,"{B.A,B.Sc,B.COM,TCH,10th,B.Ed,M.Sc,MA,M.Com}",True,2,AC,,,શિક્ષકની શૈક્ષણિક લાયકાત શું છે,"{B.A, B.Sc, B.COM, TCH, 10th, B. Ed M. Sc, MA, M Com}"
,Gender of the teacher ?,Gender of the teacher ?,Teaching,"{Male,Female}",True,1,AC,,,શિક્ષકની જાતિ,"{પુરુષ , સ્ત્રી}"
,Which other grades is the math teacher teaching ?,Which other grades is the math teacher teaching ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,ગણિતના શિક્ષક કયા બીજા ધોરણ ભણાવી રહ્યા છે?,"{૧ ,૨,૩, ૪,૫,૬,૭,૮ ,મલ્ટિ-ગ્રેડ}"
,For which Grades is the teacher using the NCERT Kit ?,For which Grades is the teacher using the NCERT Kit ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,શિક્ષક કયા-કયા ધોરણ માટે NCERT  કીટનો ઉપયોગ કરે છે?,"{૧ ,૨,૩, ૪,૫,૬,૭,૮ ,મલ્ટિ-ગ્રેડ}"
,How many teachers were there in this school for the Primary classes (excluding HM) ?,How many teachers were there in this school for the Primary classes (excluding HM) ?,Teaching,"{One,Two,Three,More than three,Single Teacher}",True,2,AC,,,આ શાળામાં  પ્રાથમિક વર્ગના કેટલા શિક્ષકો હતા(  HM સિવાય)?,"{ એક,બે,ત્રણ,ત્રણ,કરતા વધારે}"
,Is Math subject being taught by two different teachers for grade 4 and 5 ?,Is Math subject being taught by two different teachers for grade 4 and 5 ?,Teaching,"{Yes,No}",True,1,AC,,,શું ધોરણ-૧ અને  ૨ માં ગણિત વિષય બે  જુદા જુદા શિક્ષકો ભણાવી રહ્યા છે?,"{હા,ના}"
,Are all primary teachers of the school trained on PRAGNA approach?,Are all primary teachers of the school trained on PRAGNA approach?,Teaching,"{Yes,No}",True,1,AC,,,શાળાના તમામ પ્રાથમિક શિક્ષકો પ્રજ્ઞા અભિગમ પર તાલીમબદ્ધ છે,"{હા,ના}"
,Is it a multi-grade classroom that teacher was teaching ?,Is it a multi-grade classroom that teacher was teaching ?,Teaching,"{1+2, 1+2+3}",True,2,AC,,,"જે  વર્ગમાં શિક્ષક ભણાવતા હતા તે મલ્ટિ-ગ્રેડનો વર્ગખંડ છે? (ધોરણ ૧ -  ૨,ધોરણ ૧ -૨ -૩)","{૧+૨,૧+૨+૩}"
,"If the teacher is using Math Kit, then which TLM is used more frequently ?","If the teacher is using Math Kit, then which TLM is used more frequently ?",Academic,"{Solid Shapes ,Tiles ,Clocks,Domino Number Card,Play money,Number Cards,Blocks,Place Value Cards,Dice,Stamping Containers,String}",True,2,AC,,,"જો શિક્ષક ગણિતની કિટનો ઉપયોગ કરી રહ્યાં છે, તો કયા TLM નો વારંવાર ઉપયોગ કરે છે?","{ઘનઆકારો,ટાઈલ્સ,ઘડીયાળ,ડોમિનોસ નંબરકાડૅ, રમતના નાણાં, નંબરકાડૅ,બ્લોક્સ,સ્થાનકિંમત કાડૅ,ડાઇસ,સ્ટેમ્પીંગ,દોરી}"
,"If the teacher is using Math Kit, then which TLM is used least ?","If the teacher is using Math Kit, then which TLM is used least ?",Academic,"{Solid Shapes ,Tiles ,Clocks,Domino Number Card,Play money,Number Cards,Blocks,Place Value Cards,Dice,Stamping Containers,String}",True,2,AC,,,"જો શિક્ષક ગણિતની કિટનો ઉપયોગ કરી રહ્યાં છે, તો કયા TLM નો ઓછામાં ઓછો ઉપયોગ કરે છે?","{ઘનઆકારો,ટાઈલ્સ,ઘડીયાળ,ડોમિનોસ નંબરકાડૅ, રમતના નાણાં,નંબરકાડૅ,બ્લોક્સ,સ્થાનકિંમત કાડૅ,ડાઇસ,સ્ટેમ્પીંગ,દોરી}"
,Is the Math kit helpful in improving learning outcome in math ?,Is the Math kit helpful in improving learning outcome in math ?,Teaching,"{Yes,No,Dont know}",True,1,AC,,,શું ગણિતમાં અધ્યયન નિષ્પત્તિ  સુધારવામાં NCERTકિટ મદદરૂપ છે?,"{હા,ના,કહી શકતા નથી}"
,Does the teacher feel that the PRAGNA methodology is aligned to the syllabus she/he is teaching ?,Does the teacher feel that the PRAGNA methodology is aligned to the syllabus she/he is teaching ?,Teaching,"{Yes,No,Dont Know}",True,1,AC,,,શું શિક્ષકને લાગે છે કે  પ્રજ્ઞા અભિગમ પદ્ધતિ જે - તે ધોરણ ને યોગ્ય  છે?,"{હા,ના,કહી શકતા નથી}"
,Which concepts did the teacher feel was easy to teach using NCERT TLMs ?,Which concepts did the teacher feel was easy to teach using NCERT TLMs ?,Teaching,"{Number Sense,Addition, Subtraction,Measurement,Time,2D-3D shapes,Pattern,Data Handling}",True,2,AC,,,NCERT TLM નો ઉપયોગ કરીને શિક્ષકને કઇ વિભાવનાઓ શીખવવી સરળ લાગે છે,"{સંખ્યાની સમજ, સરવાળા, બાદબાકી, માપન,સમય,દ્વીપરિમાણીય/ ત્રિપરિમાણીય આકારો,પેટનૅ,માહિતી વ્યવસ્થાપન}"
,Has the teacher used the Pragna teacher’s handbook ?,Has the teacher used the Pragna teacher’s handbook ?,Teaching,"{Yes,No}",True,1,AC,,,શું શિક્ષકે પ્રજ્ઞાની શિક્ષક આવૃત્તિનો ઉપયોગ કર્યો છે?,"{હા,ના}"
,Did the teacher find the Pragna Teacher's manual useful ?,Did the teacher find the Pragna Teacher's manual useful ?,Teaching,"{Yes,No}",True,1,AC,,,શું શિક્ષકને પ્રજ્ઞાની શિક્ષક આવૃત્તિ ઉપયોગી લાગી?,"{હા,ના}"
,Does the teacher get required help on PRAGNA approach ?,Does the teacher get required help on PRAGNA approach ?,Teaching,"{Yes,No}",True,1,AC,,,શું પ્રજ્ઞા અભિગમ પર શિક્ષકને જરૂરી મદદ મળે છે?,"{હા - મને મદદ મળી છે, ના - મને મદદ નથી મળી }"
,If the teacher has any questions regarding the NCERT kit or PRAGNA teaching methodology whom do they reach out to ?,If the teacher has any questions regarding the NCERT kit or PRAGNA teaching methodology whom do they reach out to ?,Teaching,"{CRPs,BRPS,HMs,DIET,Akshara staff,Other Teachers}",True,1,AC,,,"જો શિક્ષકને  પ્રજ્ઞા અભિગમ  કે NCERT  કીટ સંબંધિત કોઈ પ્રશ્નો હોય તો, તો તેઓ કોની પાસે પહોંચે છે?","{CRPs, BRPS ,HMs, DIET, અન્ય, શિક્ષકો}"
,Is the HM teaching math period ?,Is the HM teaching math period ?,Teaching,"{Yes,No}",True,1,AC,,,શુ HM ગણિત શિખવે છે?,"{હા,ના}"
,Is the Pragna trained teacher teaching math ?,Is the Pragna trained teacher teaching math ?,Teaching,"{Yes,No}",True,1,AC,,,શું પ્રજ્ઞા પ્રશિક્ષિત શિક્ષક ગણિત શીખવે છે?,"{હા,ના}"
,what do you think of the Pragna methodology and the NCERT kit ?,what do you think of the Pragna methodology and the NCERT kit ?,Teaching,"{It is definitely helpful,It is delaying my syllabus coverage,It is creating chaos in the classroom}",True,2,AC,,,તમે  પ્રજ્ઞા અભિગમ અને NCERT કીટ વિશે શું વિચારો છો?,"{ તે ચોક્કસપણે મદદરૂપ છે, તે મારો અભ્યાસક્રમ પૂરો કરવામાં વિલંબ કરે છે,તે વર્ગખંડમાં અરાજકતા પેદા કરે છે}"
,Did any teachers/HMs/CRPs suggest any changes to the Pragna teaching methodology ? or changes to the ILP Konnect app ?,Did any teachers/HMs/CRPs suggest any changes to the Pragna teaching methodology ? or changes to the ILP Konnect app ?,Teaching,"{Yes,No}",True,1,AC,,,શું કોઈપણ શિક્ષકે / HM/CRP એ પ્રજ્ઞા અભિગમ પદ્ધતિમાં કોઈ ફેરફાર સૂચવ્યા છે? અથવા ILPKonnect App માં કોઈ ફેરફાર?,"{હા,ના}"
,How often does the teacher use the NCERT math TLMs in the classroom ?,How often does the teacher use the NCERT math TLMs in the classroom ?,Teaching,"{Everyday,Twice in a week,Once in a week,Very rare,Depending on the requirement}",True,1,AC,,,સામાન્ય રીતે વર્ગખંડમાં શિક્ષક NCERT કીટ માના TLMs નો ઉપયોગ કેટલી વાર કરે છે?,"{ દરરોજ , અઠવાડિયામાં બે વાર ,અઠવાડિયામાં એકવાર ,ખૂબ જ દુર્લભ ,આવશ્યકતા પર આધાર}"
,Did you see the NCERT kit used by the students during your visit ?,Did you see the NCERT kit used by the students during your visit ?,Teaching,"{Yes,No}",True,1,AC,,,શું તમે તમારી મુલાકાત દરમિયાન વિદ્યાર્થીઓ  દ્વારા NCERT કીટ નો ઉપયોગ થતા જોયો હતો. ,"{હા,ના}"
,How many children were present in class 4 during your visit ?,How many children were present in class 4 during your visit ?,Teaching,"{Less than 10,Between 10 and 24,More than 25}",True,2,AC,,,તમારી મુલાકાત દરમિયાન ધોરણ ૧  માં કેટલા બાળકો હાજર હતા?,"{૧0 થી ઓછા, ૧0 અને ૨૪ વચ્ચે, ૨૫ થી વધુ}"
,How many children were present in class 5 during your visit ?,How many children were present in class 5 during your visit ?,Teaching,"{Less than 10,Between 10 and 24,More than 25}",True,2,AC,,,તમારી મુલાકાત દરમિયાન ધોરણ  ૨ માં કેટલા બાળકો હાજર હતા?,"{૧0 થી ઓછા, ૧0 અને ૨૪ વચ્ચે, ૨૫ થી વધુ}"
,Did the children answer the question you asked using the NCERT kit ?,Did the children answer the question you asked using the NCERT kit ?,Teaching,"{Yes,No}",True,1,AC,,,શું તમે NCERT કીટ નો ઉપયોગ કરીને પૂછેલા સવાલનો જવાબ  બાળકોએ આપ્યો?,"{હા,ના}"